CustomerID,Recency,Frequency,Monetary,SupportTickets,Tenure
FASH_0084,134,1.2,84.70,5,11
FASH_0085,25,4.9,434.60,1,28
FASH_0086,198,0.4,41.80,12,5
FASH_0087,14,6.6,756.90,0,37
FASH_0088,178,0.7,53.40,9,9
FASH_0089,9,7.9,1189.30,0,48
FASH_0090,234,0.2,27.60,15,3
FASH_0091,34,3.8,323.70,2,22
FASH_0092,256,0.1,20.40,16,2
FASH_0093,21,5.2,501.20,1,29
FASH_0094,145,1.0,78.90,6,12
FASH_0095,16,6.3,687.50,1,34
FASH_0096,189,0.6,48.30,10,7
FASH_0097,12,7.7,1067.80,0,44
FASH_0098,223,0.3,32.10,13,4
FASH_0099,28,4.5,356.90,2,24
FASH_0100,245,0.2,29.80,14,3
FASH_0101,6,8.7,1420.60,0,52
FASH_0102,298,0.1,12.30,20,1
FASH_0103,42,3.1,245.70,4,17
FASH_0104,189,0.5,44.20,11,6
FASH_0105,23,5.0,467.30,1,26
FASH_0106,167,0.8,59.60,8,8
FASH_0107,15,6.8,789.40,0,35
FASH_0108,234,0.2,25.80,15,3
FASH_0109,37,3.7,298.50,3,20
FASH_0110,278,0.1,17.90,18,2
FASH_0111,18,5.6,612.80,1,32
FASH_0112,145,1.1,81.40,5,12
FASH_0113,31,4.1,389.60,2,23
FASH_0114,198,0.4,42.90,12,5
FASH_0115,13,7.0,823.70,0,39
FASH_0116,178,0.7,55.10,9,9
FASH_0117,7,8.4,1356.20,0,50
FASH_0118,245,0.2,28.70,14,3
FASH_0119,40,3.2,267.40,3,18
FASH_0120,267,0.1,19.60,17,2
FASH_0121,20,5.4,534.90,1,28
FASH_0122,156,0.9,74.30,7,11
FASH_0123,26,4.8,412.80,2,25
FASH_0124,212,0.3,35.60,13,4
FASH_0125,17,6.1,656.70,1,31
FASH_0126,189,0.6,46.80,10,7
FASH_0127,10,7.6,1023.50,0,41
FASH_0128,234,0.2,26.90,15,3
FASH_0129,35,3.9,334.20,2,21
FASH_0130,256,0.1,21.50,16,2
FASH_0131,22,5.1,478.60,1,27
FASH_0132,134,1.3,86.70,5,10
FASH_0133,14,6.9,798.30,0,38
FASH_0134,167,0.8,57.20,9,8
FASH_0135,8,8.2,1278.90,0,46
FASH_0136,223,0.3,31.40,13,4
FASH_0137,33,4.0,312.60,2,24
FASH_0138,245,0.2,30.20,14,3
FASH_0139,19,5.7,587.40,1,30
FASH_0140,178,0.7,54.30,8,9
FASH_0141,11,7.3,934.80,0,43
FASH_0142,198,0.4,40.70,12,6
FASH_0143,29,4.3,345.90,2,22
FASH_0144,267,0.1,18.50,17,2
FASH_0145,16,6.4,698.60,1,33
FASH_0146,145,1.0,77.80,6,12
FASH_0147,24,4.9,445.30,1,26
FASH_0148,189,0.5,47.90,10,7
FASH_0149,12,7.8,1134.70,0,45
FASH_0150,234,0.2,27.30,15,3
FASH_0151,38,3.5,289.70,3,19
FASH_0152,278,0.1,16.80,18,2
FASH_0153,21,5.3,523.40,1,29
FASH_0154,156,0.9,72.60,7,13
FASH_0155,15,6.7,767.20,0,36
FASH_0156,167,0.8,58.90,8,8
FASH_0157,9,8.0,1198.50,0,47
FASH_0158,223,0.3,32.80,13,4
FASH_0159,32,4.2,356.80,2,23
FASH_0160,245,0.2,29.10,14,3
FASH_0161,18,5.8,634.70,1,31
FASH_0162,134,1.2,83.50,5,11
FASH_0163,27,4.6,423.90,2,25
FASH_0164,198,0.4,43.20,12,5
FASH_0165,13,7.1,845.60,0,40
FASH_0166,178,0.7,56.40,9,9
FASH_0167,6,8.6,1398.80,0,51
FASH_0168,234,0.2,26.50,15,3
FASH_0169,41,3.1,256.30,4,18
FASH_0170,267,0.1,19.20,17,2
FASH_0171,20,5.5,567.90,1,28
FASH_0172,145,1.1,80.60,5,12
FASH_0173,25,4.7,401.50,2,24
FASH_0174,189,0.6,45.70,10,7
FASH_0175,14,6.8,723.80,0,37
FASH_0176,167,0.8,59.10,8,8
FASH_0177,10,7.7,1089.40,0,44
FASH_0178,223,0.3,33.60,13,4
FASH_0179,36,3.6,298.40,3,20
FASH_0180,256,0.1,20.90,16,2
FASH_0181,17,6.2,678.30,1,34
FASH_0182,134,1.3,85.90,5,10
FASH_0183,23,5.0,489.70,1,27
FASH_0184,178,0.7,53.80,9,9
FASH_0185,11,7.4,967.20,0,42
FASH_0186,198,0.4,41.60,12,6
FASH_0187,30,4.4,367.50,2,21
FASH_0188,245,0.2,28.90,14,3
FASH_0189,19,5.6,601.20,1,32
FASH_0190,156,0.9,71.70,7,11
FASH_0191,26,4.8,434.80,2,26
FASH_0192,189,0.5,46.30,10,7
FASH_0193,8,8.1,1245.60,0,48
FASH_0194,234,0.2,25.40,15,3
FASH_0195,34,3.8,312,2,22
FASH_0196,278,0.1,17.60,18,2
FASH_0197,22,5.2,512.40,1,29
FASH_0198,145,1.0,78.20,6,12
FASH_0199,16,6.5,734.90,0,35
FASH_0200,167,0.8,57.60,8,8
